	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	15.5	16	16.5	17	18	19	Number of timepoints	Question answers	Question answers en	Question answers en human	Question answers human	Question en
ik kan veilig contact hebben met mensen op mijn werk										covt10_backtowork_adu_q_1_g			covt13_backtowork_adu_q_1_g									2	{"4": "niet mee eens, niet mee oneens", "8": "niet van toepassing", "6": "oneens", "5": "een beetje mee oneens", "2": "mee eens", "1": "helemaal mee eens", "7": "helemaal mee oneens", "3": "een beetje mee eens"}	{"4": "neutral", "8": "not applicable", "6": "disagree", "5": "somewhat disagree", "2": "agree", "1": "completely agree", "7": "completely disagree", "3": "somewhat agree"}	4: neutral, 8: not applicable, 6: disagree, 5: somewhat disagree, 2: agree, 1: completely agree, 7: completely disagree, 3: somewhat agree	4: niet mee eens, niet mee oneens, 8: niet van toepassing, 6: oneens, 5: een beetje mee oneens, 2: mee eens, 1: helemaal mee eens, 7: helemaal mee oneens, 3: een beetje mee eens	i can safely have contact with people at my work
ik kan de risico`s op infecties in het gebouw zelf beperken										covt10_backtowork_adu_q_1_h			covt13_backtowork_adu_q_1_h									2	{"3": "een beetje mee eens", "8": "niet van toepassing", "6": "oneens", "7": "helemaal mee oneens", "4": "niet mee eens, niet mee oneens", "1": "helemaal mee eens", "5": "een beetje mee oneens", "2": "mee eens"}	{"3": "somewhat agree", "8": "not applicable", "6": "disagree", "7": "completely disagree", "4": "neutral", "1": "completely agree", "5": "somewhat disagree", "2": "agree"}	3: somewhat agree, 8: not applicable, 6: disagree, 7: completely disagree, 4: neutral, 1: completely agree, 5: somewhat disagree, 2: agree	3: een beetje mee eens, 8: niet van toepassing, 6: oneens, 7: helemaal mee oneens, 4: niet mee eens, niet mee oneens, 1: helemaal mee eens, 5: een beetje mee oneens, 2: mee eens	i can limit the risk of infection myself in the building where i work
kanker / hebt u een chronische aandoening?	covt01_chronic_adu_q_1_n	covt02_chronic_adu_q_1_n																				2	{"1": "ja", "2": "nee"}	{"1": "yes", "2": "no"}	1: yes, 2: no	1: ja, 2: nee	cancer / do you have a chronic health condition?
hebt u een chronische aandoening?	covt01_chronic_adu_q_1	covt02_chronic_adu_q_1																				2	{"2": "nee", "1": "ja"}	{"2": "no", "1": "yes"}	2: no, 1: yes	2: nee, 1: ja	do you have a chronic health condition?
tegemoetkoming vaste lasten covid-19 (tvl) / kunt u aangeven van welke steunmaatregelen u gebruik maakt?																	covt16_compensation_adu_q_1_g				covt19_compensation_adu_q_1_g	2	{"3": "aanvraag goedgekeurd", "4": "aanvraag afgewezen", "2": "aanvraag ingediend", "1": "niet aangevraagd"}	{"3": "request approved", "4": "request denied", "2": "request submitted", "1": "not requested"}	3: request approved, 4: request denied, 2: request submitted, 1: not requested	3: aanvraag goedgekeurd, 4: aanvraag afgewezen, 2: aanvraag ingediend, 1: niet aangevraagd	support for standing charges covid-19 (tvl) / what business support measures do you make use of?
hoesten/niezen in elleboog / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_a				covt14_compliance_adu_q_1_a								2	{"5": "niet van toepassing", "4": "nee, nooit gedaan", "2": "ja, sinds de coronacrisis", "1": "ja, altijd al", "3": "nee, eerst wel en nu niet meer"}	{"5": "not applicable", "4": "no, i never did", "2": "yes, since the corona crisis", "1": "yes, i have always done this", "3": "no, i did this before but not anymore"}	5: not applicable, 4: no, i never did, 2: yes, since the corona crisis, 1: yes, i have always done this, 3: no, i did this before but not anymore	5: niet van toepassing, 4: nee, nooit gedaan, 2: ja, sinds de coronacrisis, 1: ja, altijd al, 3: nee, eerst wel en nu niet meer	cough/sneeze in elbow / i comply with the following measures:
papieren zakdoekjes gebruiken / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_b				covt14_compliance_adu_q_1_b								2	{"5": "niet van toepassing", "2": "ja, sinds de coronacrisis", "3": "nee, eerst wel en nu niet meer", "4": "nee, nooit gedaan", "1": "ja, altijd al"}	{"5": "not applicable", "2": "yes, since the corona crisis", "3": "no, i did this before but not anymore", "4": "no, i never did", "1": "yes, i have always done this"}	5: not applicable, 2: yes, since the corona crisis, 3: no, i did this before but not anymore, 4: no, i never did, 1: yes, i have always done this	5: niet van toepassing, 2: ja, sinds de coronacrisis, 3: nee, eerst wel en nu niet meer, 4: nee, nooit gedaan, 1: ja, altijd al	use paper tissues / i comply with the following measures:
geen handen schuddden / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_c				covt14_compliance_adu_q_1_c								2	{"1": "ja, altijd al", "2": "ja, sinds de coronacrisis", "5": "niet van toepassing", "4": "nee, nooit gedaan", "3": "nee, eerst wel en nu niet meer"}	{"1": "yes, i have always done this", "2": "yes, since the corona crisis", "5": "not applicable", "4": "no, i never did", "3": "no, i did this before but not anymore"}	1: yes, i have always done this, 2: yes, since the corona crisis, 5: not applicable, 4: no, i never did, 3: no, i did this before but not anymore	1: ja, altijd al, 2: ja, sinds de coronacrisis, 5: niet van toepassing, 4: nee, nooit gedaan, 3: nee, eerst wel en nu niet meer	no handshakes / i comply with the following measures:
1,5 m afstand houden / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_d				covt14_compliance_adu_q_1_d								2	{"3": "nee, eerst wel en nu niet meer", "1": "ja, altijd al", "4": "nee, nooit gedaan", "2": "ja, sinds de coronacrisis", "5": "niet van toepassing"}	{"3": "no, i did this before but not anymore", "1": "yes, i have always done this", "4": "no, i never did", "2": "yes, since the corona crisis", "5": "not applicable"}	3: no, i did this before but not anymore, 1: yes, i have always done this, 4: no, i never did, 2: yes, since the corona crisis, 5: not applicable	3: nee, eerst wel en nu niet meer, 1: ja, altijd al, 4: nee, nooit gedaan, 2: ja, sinds de coronacrisis, 5: niet van toepassing	keep a distance of 1.5 meter / i comply with the following measures:
zoveel mogelijk thuisblijven / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_e				covt14_compliance_adu_q_1_e								2	{"5": "niet van toepassing", "3": "nee, eerst wel en nu niet meer", "2": "ja, sinds de coronacrisis", "4": "nee, nooit gedaan", "1": "ja, altijd al"}	{"5": "not applicable", "3": "no, i did this before but not anymore", "2": "yes, since the corona crisis", "4": "no, i never did", "1": "yes, i have always done this"}	5: not applicable, 3: no, i did this before but not anymore, 2: yes, since the corona crisis, 4: no, i never did, 1: yes, i have always done this	5: niet van toepassing, 3: nee, eerst wel en nu niet meer, 2: ja, sinds de coronacrisis, 4: nee, nooit gedaan, 1: ja, altijd al	stay home as much as possible / i comply with the following measures:
zo veel mogelijk thuiswerken / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_f				covt14_compliance_adu_q_1_f								2	{"5": "niet van toepassing", "4": "nee, nooit gedaan", "2": "ja, sinds de coronacrisis", "3": "nee, eerst wel en nu niet meer", "1": "ja, altijd al"}	{"5": "not applicable", "4": "no, i never did", "2": "yes, since the corona crisis", "3": "no, i did this before but not anymore", "1": "yes, i have always done this"}	5: not applicable, 4: no, i never did, 2: yes, since the corona crisis, 3: no, i did this before but not anymore, 1: yes, i have always done this	5: niet van toepassing, 4: nee, nooit gedaan, 2: ja, sinds de coronacrisis, 3: nee, eerst wel en nu niet meer, 1: ja, altijd al	work from home as often as possible / i comply with the following measures:
zo min mogelijk bezoek ontvangen (max. 3 tegelijk) / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_g				covt14_compliance_adu_q_1_g								2	{"2": "ja, sinds de coronacrisis", "1": "ja, altijd al", "5": "niet van toepassing", "3": "nee, eerst wel en nu niet meer", "4": "nee, nooit gedaan"}	{"2": "yes, since the corona crisis", "1": "yes, i have always done this", "5": "not applicable", "3": "no, i did this before but not anymore", "4": "no, i never did"}	2: yes, since the corona crisis, 1: yes, i have always done this, 5: not applicable, 3: no, i did this before but not anymore, 4: no, i never did	2: ja, sinds de coronacrisis, 1: ja, altijd al, 5: niet van toepassing, 3: nee, eerst wel en nu niet meer, 4: nee, nooit gedaan	receive as few visitors as possible (max. 3 at a time) / i comply with the following measures:
mensen in een risicogroep niet bezoeken (van 70 jaar of ouder en/of met kwetsbare gezondheid) / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_h				covt14_compliance_adu_q_1_h								2	{"1": "ja, altijd al", "3": "nee, eerst wel en nu niet meer", "4": "nee, nooit gedaan", "2": "ja, sinds de coronacrisis", "5": "niet van toepassing"}	{"1": "yes, i have always done this", "3": "no, i did this before but not anymore", "4": "no, i never did", "2": "yes, since the corona crisis", "5": "not applicable"}	1: yes, i have always done this, 3: no, i did this before but not anymore, 4: no, i never did, 2: yes, since the corona crisis, 5: not applicable	1: ja, altijd al, 3: nee, eerst wel en nu niet meer, 4: nee, nooit gedaan, 2: ja, sinds de coronacrisis, 5: niet van toepassing	no visits with anyone in a high risk group (70 years and older and/or health issues) / i comply with the following measures:
mensen in een risicogroep door vaste personen laten bezoeken / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_i				covt14_compliance_adu_q_1_i								2	{"2": "ja, sinds de coronacrisis", "4": "nee, nooit gedaan", "3": "nee, eerst wel en nu niet meer", "1": "ja, altijd al", "5": "niet van toepassing"}	{"2": "yes, since the corona crisis", "4": "no, i never did", "3": "no, i did this before but not anymore", "1": "yes, i have always done this", "5": "not applicable"}	2: yes, since the corona crisis, 4: no, i never did, 3: no, i did this before but not anymore, 1: yes, i have always done this, 5: not applicable	2: ja, sinds de coronacrisis, 4: nee, nooit gedaan, 3: nee, eerst wel en nu niet meer, 1: ja, altijd al, 5: niet van toepassing	have anyone in a high risk group always be visited by the same people / i comply with the following measures:
drukte vermijden / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_j				covt14_compliance_adu_q_1_j								2	{"3": "nee, eerst wel en nu niet meer", "5": "niet van toepassing", "2": "ja, sinds de coronacrisis", "4": "nee, nooit gedaan", "1": "ja, altijd al"}	{"3": "no, i did this before but not anymore", "5": "not applicable", "2": "yes, since the corona crisis", "4": "no, i never did", "1": "yes, i have always done this"}	3: no, i did this before but not anymore, 5: not applicable, 2: yes, since the corona crisis, 4: no, i never did, 1: yes, i have always done this	3: nee, eerst wel en nu niet meer, 5: niet van toepassing, 2: ja, sinds de coronacrisis, 4: nee, nooit gedaan, 1: ja, altijd al	avoid crowded places / i comply with the following measures:
alleen noodzakelijke binnenlandse reizen maken / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_k				covt14_compliance_adu_q_1_k								2	{"5": "niet van toepassing", "1": "ja, altijd al", "2": "ja, sinds de coronacrisis", "4": "nee, nooit gedaan", "3": "nee, eerst wel en nu niet meer"}	{"5": "not applicable", "1": "yes, i have always done this", "2": "yes, since the corona crisis", "4": "no, i never did", "3": "no, i did this before but not anymore"}	5: not applicable, 1: yes, i have always done this, 2: yes, since the corona crisis, 4: no, i never did, 3: no, i did this before but not anymore	5: niet van toepassing, 1: ja, altijd al, 2: ja, sinds de coronacrisis, 4: nee, nooit gedaan, 3: nee, eerst wel en nu niet meer	travel inland only when necessary / i comply with the following measures:
alleen noodzakelijke buitenlandse reizen maken / ik houd me aan de volgende maatregelen:										covt10_compliance_adu_q_1_l				covt14_compliance_adu_q_1_l								2	{"2": "ja, sinds de coronacrisis", "1": "ja, altijd al", "5": "niet van toepassing", "3": "nee, eerst wel en nu niet meer", "4": "nee, nooit gedaan"}	{"2": "yes, since the corona crisis", "1": "yes, i have always done this", "5": "not applicable", "3": "no, i did this before but not anymore", "4": "no, i never did"}	2: yes, since the corona crisis, 1: yes, i have always done this, 5: not applicable, 3: no, i did this before but not anymore, 4: no, i never did	2: ja, sinds de coronacrisis, 1: ja, altijd al, 5: niet van toepassing, 3: nee, eerst wel en nu niet meer, 4: nee, nooit gedaan	travel abroad only when necessary / i comply with the following measures:
ja, maar als zorgverlener en ik gebruikte de voorgeschreven beschermende middelen / sinds het invullen van de vorige vragenlijst, hebt u contact gehad met iemand bij wie covid-19 is vastgesteld?_y																			covt17_contact_adu_q_9_c1		covt19_contact_adu_q_9_c1	2	{"1": "ja, maar als zorgverlener en ik gebruikte de voorgeschreven beschermende middelen"}	{"1": "yes, but as a healthcare professional and i used the appropriate personal protection equipment"}	1: yes, but as a healthcare professional and i used the appropriate personal protection equipment	1: ja, maar als zorgverlener en ik gebruikte de voorgeschreven beschermende middelen	yes, but as a healthcare professional and i used the appropriate personal protection equipment / since filling in the previous questionnaire, have you had contact with someone who has been diagnosed with covid-19?
ja, ik heb een melding gekregen van de coronamelder / sinds het invullen van de vorige vragenlijst, hebt u contact gehad met iemand bij wie covid-19 is vastgesteld?_y																			covt17_contact_adu_q_9_c2		covt19_contact_adu_q_9_c2	2	{"1": "ja, ik heb een melding gekregen van de coronamelder"}	{"1": "yes, i received a notification from the coronamelder app"}	1: yes, i received a notification from the coronamelder app	1: ja, ik heb een melding gekregen van de coronamelder	yes, i received a notification from the coronamelder app / since filling in the previous questionnaire, have you had contact with someone who has been diagnosed with covid-19?
ja, bericht uit het bron- en contactonderzoek (rechtstreeks van de ggd of via de positief geteste persoon) / sinds het invullen van de vorige vragenlijst, hebt u contact gehad met iemand bij wie covid-19 is vastgesteld?_y																			covt17_contact_adu_q_9_c3		covt19_contact_adu_q_9_c3	2	{"1": "ja, bericht uit het bron- en contactonderzoek (rechtstreeks van de ggd of via de positief geteste persoon)"}	{"1": "yes, notification from the source- and contact investigation (straight from the ggd or via the person with a positive test result)"}	1: yes, notification from the source- and contact investigation (straight from the ggd or via the person with a positive test result)	1: ja, bericht uit het bron- en contactonderzoek (rechtstreeks van de ggd of via de positief geteste persoon)	yes, notification from the source- and contact investigation (straight from the ggd or via the person with a positive test result) / since filling in the previous questionnaire, have you had contact with someone who has been diagnosed with covid-19?
ja, overig / sinds het invullen van de vorige vragenlijst, hebt u contact gehad met iemand bij wie covid-19 is vastgesteld?_y																			covt17_contact_adu_q_9_c4		covt19_contact_adu_q_9_c4	2	{"1": "ja, overig"}	{"1": "yes, other"}	1: yes, other	1: ja, overig	yes, other / since filling in the previous questionnaire, have you had contact with someone who has been diagnosed with covid-19?
niet dat ik weet / sinds het invullen van de vorige vragenlijst, hebt u contact gehad met iemand bij wie covid-19 is vastgesteld?_y																			covt17_contact_adu_q_9_c5		covt19_contact_adu_q_9_c5	2	{"1": "niet dat ik weet"}	{"1": "not that i know of"}	1: not that i know of	1: niet dat ik weet	not that i know of / since filling in the previous questionnaire, have you had contact with someone who has been diagnosed with covid-19?
ik hou graag zelf de controle over een situatie															covt15_controlsituation_adu_q_1			covt16b_controlsituation_adu_q_1				2	{"4": "niet mee eens", "2": "mee eens", "3": "niet mee eens, niet mee oneens", "1": "helemaal mee eens", "5": "helemaal niet mee eens"}	{"4": "disagree", "2": "agree", "3": "neutral", "1": "completely agree", "5": "completely disagree"}	4: disagree, 2: agree, 3: neutral, 1: completely agree, 5: completely disagree	4: niet mee eens, 2: mee eens, 3: niet mee eens, niet mee oneens, 1: helemaal mee eens, 5: helemaal niet mee eens	i like to be in control over a situation
denkt u dat er een vaccin komt?										covt10_covidvaccine_adu_q_1_a					covt15_covidvaccine_adu_q_1_a							2	{"2": "nee", "1": "ja", "3": "weet ik niet"}	{"2": "no", "1": "yes", "3": "i don't know"}	2: no, 1: yes, 3: i don't know	2: nee, 1: ja, 3: weet ik niet	do you think there will be a vaccine?
welk vaccin hebt u gehad?																				covt18_covidvaccine_adu_q_3_a1	covt19_covidvaccine_adu_q_4_a1	2	{"2": "moderna", "4": "anders", "3": "astrazeneca/oxford", "1": "pfizer/biontech", "5": "weet ik niet"}	{"2": "moderna", "4": "other", "3": "astrazeneca/oxford", "1": "pfizer/biontech", "5": "i do not know"}	2: moderna, 4: other, 3: astrazeneca/oxford, 1: pfizer/biontech, 5: i do not know	2: moderna, 4: anders, 3: astrazeneca/oxford, 1: pfizer/biontech, 5: weet ik niet	which vaccine did you receive?
hoe lang denkt u dat het duurt voordat er een vaccin komt?										covt10_covidvaccine_adu_q_1_b					covt15_covidvaccine_adu_q_1_b							2	{"1": "minder dan 3 maanden", "5": "1,5 jaar", "4": "1 jaar", "6": "2 jaar", "9": "weet ik niet", "3": "6 maanden", "8": "langer dan 3 jaar", "7": "3 jaar", "2": "3 maanden"}	{"1": "less than 3 months", "5": "1.5 years", "4": "1 year", "6": "2 years", "9": "i don't know", "3": "6 months", "8": "more than 3 years", "7": "3 years", "2": "3 months"}	1: less than 3 months, 5: 1.5 years, 4: 1 year, 6: 2 years, 9: i don't know, 3: 6 months, 8: more than 3 years, 7: 3 years, 2: 3 months	1: minder dan 3 maanden, 5: 1,5 jaar, 4: 1 jaar, 6: 2 jaar, 9: weet ik niet, 3: 6 maanden, 8: langer dan 3 jaar, 7: 3 jaar, 2: 3 maanden	how long do you think it will take before a vaccine is available?
laat u zich vaccineren als het vaccin tegen covid-19 beschikbaar is?										covt10_covidvaccine_adu_q_1_c					covt15_covidvaccine_adu_q_1_c							2	{"3": "misschien", "1": "ja", "2": "nee", "4": "weet ik niet"}	{"3": "maybe", "1": "yes", "2": "no", "4": "i don't know"}	3: maybe, 1: yes, 2: no, 4: i don't know	3: misschien, 1: ja, 2: nee, 4: weet ik niet	will you be vaccinated against covid-19 when a vaccine becomes available?
hoelang bent u bereid om in een volledige lockdown te zitten (dus enkel het huis uit voor de supermarkt en cruciale beroepen) als daarmee mensenlevens gered worden?															covt15_economy_adu_q_1_d						covt19_economy_adu_q_1_d	2	{"3": "2 weken", "10": "langer dan 3 maanden", "5": "1 maand", "9": "3 maanden", "8": "2,5 maand", "11": "ik ben niet bereid in volledige lockdown te zitten", "6": "1,5 maand", "4": "3 weken", "7": "2 maanden", "1": "minder dan 1 week", "2": "1 week"}	{"3": "2 weeks", "10": "more than 3 months", "5": "1 month", "9": "3 months", "8": "2,5 months", "11": "i am not prepared to go into complete lockdown", "6": "1.5 months", "4": "3 weeks", "7": "2 months", "1": "less than 1 week", "2": "1 week"}	3: 2 weeks, 10: more than 3 months, 5: 1 month, 9: 3 months, 8: 2,5 months, 11: i am not prepared to go into complete lockdown, 6: 1.5 months, 4: 3 weeks, 7: 2 months, 1: less than 1 week, 2: 1 week	3: 2 weken, 10: langer dan 3 maanden, 5: 1 maand, 9: 3 maanden, 8: 2,5 maand, 11: ik ben niet bereid in volledige lockdown te zitten, 6: 1,5 maand, 4: 3 weken, 7: 2 maanden, 1: minder dan 1 week, 2: 1 week	how long are you prepared to stay in a complete lockdown (i.e. only go out of the house for groceries and critical jobs) if this will save lifes?
maakt uw (voormalige) werkgever gebruik van de tijdelijke noodmaatregel overbrugging werkgelegenheid (now)?								covt08_employer_adu_q_1_a		covt10_employer_adu_q_1_a												2	{"1": "ja", "4": "niet van toepassing", "2": "nee", "3": "weet ik niet"}	{"1": "yes", "4": "not applicable", "2": "no", "3": "i do not know"}	1: yes, 4: not applicable, 2: no, 3: i do not know	1: ja, 4: niet van toepassing, 2: nee, 3: weet ik niet	does your (former) employer make use of the temporary emergency bridge measure for sustained employment (now)?
hebt u een mondkapje?										covt10_facemask_adu_q_1_a											covt19_facemask_adu_q_1_a	2	{"2": "nee", "1": "ja"}	{"2": "no", "1": "yes"}	2: no, 1: yes	2: nee, 1: ja	do you wear a face mask?
zelfgemaakt / wat voor mondkapje(s) hebt u?										covt10_facemask_adu_q_1_b1											covt19_facemask_adu_q_2_b1	2	{"1": "zelfgemaakt"}	{"1": "home made"}	1: home made	1: zelfgemaakt	home made / what type(s) of face mask do you have?
stofkapje / wat voor mondkapje(s) hebt u?										covt10_facemask_adu_q_1_b2											covt19_facemask_adu_q_2_b2	2	{"1": "stofkapje"}	{"1": "dust mask"}	1: dust mask	1: stofkapje	dust mask / what type(s) of face mask do you have?
ffp1 / wat voor mondkapje(s) hebt u?_x										covt10_facemask_adu_q_1_b3											covt19_facemask_adu_q_2_b3	2	{"1": "ffp1"}	{"1": "ffp1"}	1: ffp1	1: ffp1	ffp1 / what type(s) of face mask do you have?
ffp2 / wat voor mondkapje(s) hebt u?										covt10_facemask_adu_q_1_b4											covt19_facemask_adu_q_2_b4	2	{"1": "ffp2"}	{"1": "ffp2"}	1: ffp2	1: ffp2	ffp2 / what type(s) of face mask do you have?
sjaal / wat voor mondkapje(s) hebt u?_x										covt10_facemask_adu_q_1_b6											covt19_facemask_adu_q_2_b6	2	{"1": "sjaal"}	{"1": "shawl"}	1: shawl	1: sjaal	shawl / what type(s) of face mask do you have?
hebt u het afgelopen jaar een griepprik gehad?	covt01_flushot_adu_q_1	covt02_flushot_adu_q_1																				2	{"1": "ja", "2": "nee", "3": "weet ik niet"}	{"1": "yes", "2": "no", "3": "i do not know"}	1: yes, 2: no, 3: i do not know	1: ja, 2: nee, 3: weet ik niet	did you get a flu shot in the past year?
het is goed dat de regering luistert naar de publieke opinie en de coronamaatregelen hierop aanpast															covt15_government_adu_q_1_a						covt19_government_adu_q_1_a	2	{"4": "niet mee eens", "2": "mee eens", "5": "helemaal niet mee eens", "3": "niet mee eens, niet mee oneens", "1": "helemaal mee eens"}	{"4": "disagree", "2": "agree", "5": "completely disagree", "3": "neutral", "1": "completely agree"}	4: disagree, 2: agree, 5: completely disagree, 3: neutral, 1: completely agree	4: niet mee eens, 2: mee eens, 5: helemaal niet mee eens, 3: niet mee eens, niet mee oneens, 1: helemaal mee eens	it is good that the government listens to the public opinion and adjusts the corona measures accordingly
de regering houdt te weinig rekening met economische belangen tijdens de coronacrisis															covt15_government_adu_q_1_c						covt19_government_adu_q_1_c	2	{"4": "niet mee eens", "2": "mee eens", "5": "helemaal niet mee eens", "3": "niet mee eens, niet mee oneens", "1": "helemaal mee eens"}	{"4": "disagree", "2": "agree", "5": "completely disagree", "3": "neutral", "1": "completely agree"}	4: disagree, 2: agree, 5: completely disagree, 3: neutral, 1: completely agree	4: niet mee eens, 2: mee eens, 5: helemaal niet mee eens, 3: niet mee eens, niet mee oneens, 1: helemaal mee eens	the government does not take economic interests sufficiently into account during the corona crisis
de regering houdt te weinig rekening met de mentale gezondheid van de bevolking tijdens de coronacrisis															covt15_government_adu_q_1_d						covt19_government_adu_q_1_d	2	{"5": "helemaal niet mee eens", "3": "niet mee eens, niet mee oneens", "2": "mee eens", "1": "helemaal mee eens", "4": "niet mee eens"}	{"5": "completely disagree", "3": "neutral", "2": "agree", "1": "completely agree", "4": "disagree"}	5: completely disagree, 3: neutral, 2: agree, 1: completely agree, 4: disagree	5: helemaal niet mee eens, 3: niet mee eens, niet mee oneens, 2: mee eens, 1: helemaal mee eens, 4: niet mee eens	the government does not take the mental health of the population sufficiently into account during the corona crisis
de regering moet harder optreden om het aantal besmettingen terug te dringen															covt15_government_adu_q_1_e						covt19_government_adu_q_1_e	2	{"1": "helemaal mee eens", "5": "helemaal niet mee eens", "2": "mee eens", "4": "niet mee eens", "3": "niet mee eens, niet mee oneens"}	{"1": "completely agree", "5": "completely disagree", "2": "agree", "4": "disagree", "3": "neutral"}	1: completely agree, 5: completely disagree, 2: agree, 4: disagree, 3: neutral	1: helemaal mee eens, 5: helemaal niet mee eens, 2: mee eens, 4: niet mee eens, 3: niet mee eens, niet mee oneens	the government must act tougher to reduce the number of infections
ik zou het erg vinden als ikzelf besmet raak met covid-19.										covt10_infectionmind_adu_q_1_a											covt19_infectionmind_adu_q_1_a	2	{"3": "neutraal", "4": "erg", "5": "heel erg", "2": "niet erg", "1": "helemaal niet erg"}	{"3": "neutral", "4": "a lot", "5": "very much", "2": "not", "1": "not at all"}	3: neutral, 4: a lot, 5: very much, 2: not, 1: not at all	3: neutraal, 4: erg, 5: heel erg, 2: niet erg, 1: helemaal niet erg	i would mind it if i became infected with covid-19
ik zou het erg vinden als ik u iemand anders besmet met covid-19.										covt10_infectionmind_adu_q_1_b											covt19_infectionmind_adu_q_1_b	2	{"2": "niet erg", "3": "neutraal", "5": "heel erg", "4": "erg", "1": "helemaal niet erg"}	{"2": "not", "3": "neutral", "5": "very much", "4": "a lot", "1": "not at all"}	2: not, 3: neutral, 5: very much, 4: a lot, 1: not at all	2: niet erg, 3: neutraal, 5: heel erg, 4: erg, 1: helemaal niet erg	i would mind it if i infected someone else with covid-19
(spontaan) op bezoek bij familie / sinds de start van de intelligente lockdown, hoe erg mist(e) u het volgende?										covt10_missingout_adu_q_1_a										covt18_missingout_adu_q_1_a		2	{"5": "helemaal niet erg", "2": "erg", "1": "heel erg", "6": "niet van toepassing", "4": "niet erg", "3": "neutraal"}	{"5": "not at all", "2": "a lot", "1": "very much", "6": "not applicable", "4": "not a lot", "3": "neutral"}	5: not at all, 2: a lot, 1: very much, 6: not applicable, 4: not a lot, 3: neutral	5: helemaal niet erg, 2: erg, 1: heel erg, 6: niet van toepassing, 4: niet erg, 3: neutraal	(spontaneous) visits with family / since the start of the intelligent lockdown, how badly did/do you miss the following?
(spontaan) op bezoek bij vrienden / sinds de start van de intelligente lockdown, hoe erg mist(e) u het volgende?										covt10_missingout_adu_q_1_b										covt18_missingout_adu_q_1_b		2	{"4": "niet erg", "6": "niet van toepassing", "1": "heel erg", "2": "erg", "5": "helemaal niet erg", "3": "neutraal"}	{"4": "not a lot", "6": "not applicable", "1": "very much", "2": "a lot", "5": "not at all", "3": "neutral"}	4: not a lot, 6: not applicable, 1: very much, 2: a lot, 5: not at all, 3: neutral	4: niet erg, 6: niet van toepassing, 1: heel erg, 2: erg, 5: helemaal niet erg, 3: neutraal	(spontaneous) visits with friends / since the start of the intelligent lockdown, how badly did/do you miss the following?
onbezorgd met mensen afspreken / sinds de start van de intelligente lockdown, hoe erg mist(e) u het volgende?										covt10_missingout_adu_q_1_c										covt18_missingout_adu_q_1_c		2	{"3": "neutraal", "6": "niet van toepassing", "5": "helemaal niet erg", "1": "heel erg", "2": "erg", "4": "niet erg"}	{"3": "neutral", "6": "not applicable", "5": "not at all", "1": "very much", "2": "a lot", "4": "not a lot"}	3: neutral, 6: not applicable, 5: not at all, 1: very much, 2: a lot, 4: not a lot	3: neutraal, 6: niet van toepassing, 5: helemaal niet erg, 1: heel erg, 2: erg, 4: niet erg	the carefree meeting with people / since the start of the intelligent lockdown, how badly did/do you miss the following?
spontaan uit eten gaan/terras pakken/dagje uit/bioscoop / sinds de start van de intelligente lockdown, hoe erg mist(e) u het volgende?										covt10_missingout_adu_q_1_d										covt18_missingout_adu_q_1_d		2	{"4": "niet erg", "6": "niet van toepassing", "3": "neutraal", "1": "heel erg", "5": "helemaal niet erg", "2": "erg"}	{"4": "not a lot", "6": "not applicable", "3": "neutral", "1": "very much", "5": "not at all", "2": "a lot"}	4: not a lot, 6: not applicable, 3: neutral, 1: very much, 5: not at all, 2: a lot	4: niet erg, 6: niet van toepassing, 3: neutraal, 1: heel erg, 5: helemaal niet erg, 2: erg	spontaneously going out for dinner/spend time on a terrace/making a day trip/going to the cinema / since the start of the intelligent lockdown, how badly did/do you miss the following?
vrijheid te gaan en te staan waar ik wil / sinds de start van de intelligente lockdown, hoe erg mist(e) u het volgende?										covt10_missingout_adu_q_1_e										covt18_missingout_adu_q_1_e		2	{"4": "niet erg", "6": "niet van toepassing", "2": "erg", "5": "helemaal niet erg", "1": "heel erg", "3": "neutraal"}	{"4": "not a lot", "6": "not applicable", "2": "a lot", "5": "not at all", "1": "very much", "3": "neutral"}	4: not a lot, 6: not applicable, 2: a lot, 5: not at all, 1: very much, 3: neutral	4: niet erg, 6: niet van toepassing, 2: erg, 5: helemaal niet erg, 1: heel erg, 3: neutraal	the freedom to go where i want / since the start of the intelligent lockdown, how badly did you miss the following?
